AGCNr,Name,RAdeg_HI,DECdeg_HI,RAdeg_OC,DECdeg_OC,Vhelio,W50,sigW,W20,HIflux,sigflux,SNR,RMS,Dist,sigDist,logMH,siglogMH,HIcode
5213,092-039.,146.23793,16.71389,146.23793,16.70722,5957,298,11,321,1.25,0.1,7.1,2.28,89.6,2.3,9.37,0.06,1
191869,........,146.24251,8.36306,146.24542,8.37,1733,163,5,184,4.77,0.08,35.7,2.33,27.3,2.2,8.92,0.08,1
191313,........,146.24875,17.80111,146.25542,17.79889,13051,316,11,353,1.64,0.12,7.7,2.69,190.9,2.2,10.15,0.05,1
192620,........,146.25626,7.73972,146.25708,7.73778,14101,254,37,263,1.56,0.1,8.8,2.49,206.2,2.3,10.19,0.05,1
192389,........,146.29584,9.92556,146.29916,9.91778,17441,209,13,231,0.96,0.09,6.8,2.17,253.8,2.3,10.16,0.06,1
193909,........,146.30624,13.97222,146.3046,13.96389,7889,108,11,136,0.89,0.06,8.8,2.18,117.3,2.2,9.46,0.05,1
5215,063-058.,146.31041,9.1125,146.30959,9.11,5483,411,3,431,9.11,0.11,43.8,2.26,81.7,17.5,10.16,0.19,1
739071,........,146.32834,16.71556,146.32375,16.71806,6019,212,12,220,1.24,0.09,7.3,2.6,90.4,2.4,9.38,0.06,1
192621,........,146.33084,6.99889,146.33376,6.99972,9486,224,8,235,1.42,0.09,8.2,2.58,140.3,2.2,9.82,0.05,1
193910,........,146.33624,14.57778,146.33958,14.58028,3805,130,3,144,1.33,0.05,15.2,1.71,57.1,2.3,9.01,0.06,1
5216,063-059.,146.34042,9.76639,146.34418,9.76722,3282,216,4,233,6.48,0.09,40.5,2.43,48.8,4.2,9.56,0.09,1
193911,........,146.3475,15.79222,146.34332,15.78722,13651,262,6,273,1.32,0.09,8.6,2.13,199.5,2.1,10.09,0.05,1
198433,........,146.355,5.21111,146.35916,5.20833,3152,50,7,71,0.48,0.05,7.1,2.11,48.1,2.3,8.42,0.07,1
5218,035-046.,146.37459,6.38139,146.37625,6.37667,3087,180,2,196,7.61,0.09,52.0,2.43,53.2,10.8,9.71,0.18,1
193912,092-041a,146.38708,15.26306,146.39041,15.25694,12644,105,11,151,0.83,0.06,7.7,2.32,185.1,2.1,9.83,0.05,1
192947,........,146.38959,4.41722,146.39792,4.41056,5971,116,3,127,1.25,0.06,11.7,2.21,90.1,2.3,9.38,0.05,1
192624,........,146.39542,7.91972,146.39334,7.91833,7702,130,9,150,0.79,0.06,7.2,2.12,114.7,2.3,9.39,0.06,1
192225,........,146.40625,12.58472,146.39958,12.57944,12852,175,4,189,1.23,0.07,9.5,2.19,188.2,2.3,10.01,0.05,1
